GAME,STADIUM,DATE,TIME,AWAY TEAM,SCORE_A,HOME TEAM,SCORE_H,W,YEAR
67,新莊,2020-07-16,18:35,中信兄弟,4.0,富邦,3.0,中信兄弟,2020
68,台南,2020-05-30,17:05,樂天,5.0,統一7-ELEVEn,7.0,統一7-ELEVEn,2020
69,新莊,2020-05-30,17:05,中信兄弟,4.0,富邦,3.0,中信兄弟,2020
70,台南,2020-05-31,17:05,樂天,9.0,統一7-ELEVEn,8.0,樂天,2020
71,新莊,2020-05-31,17:05,中信兄弟,2.0,富邦,4.0,富邦,2020
72,洲際,2020-06-02,18:35,樂天,5.0,中信兄弟,10.0,中信兄弟,2020
73,洲際,2020-06-03,18:35,樂天,4.0,中信兄弟,8.0,中信兄弟,2020
74,新莊,2020-06-03,18:35,統一7-ELEVEn,12.0,富邦,3.0,統一7-ELEVEn,2020
75,新莊,2020-06-04,18:35,統一7-ELEVEn,4.0,富邦,5.0,富邦,2020
76,洲際,2020-06-05,18:35,統一7-ELEVEn,7.0,中信兄弟,8.0,中信兄弟,2020
77,桃園,2020-06-05,18:35,富邦,5.0,樂天,6.0,樂天,2020
78,洲際,2020-06-06,17:05,統一7-ELEVEn,3.0,中信兄弟,14.0,中信兄弟,2020
79,桃園,2020-06-06,17:05,富邦,9.0,樂天,6.0,富邦,2020
80,洲際,2020-06-07,17:05,統一7-ELEVEn,8.0,中信兄弟,9.0,中信兄弟,2020
81,桃園,2020-07-15,18:35,富邦,3.0,樂天,14.0,樂天,2020
82,桃園,2020-06-09,18:35,統一7-ELEVEn,7.0,樂天,6.0,統一7-ELEVEn,2020
83,桃園,2020-06-10,18:35,統一7-ELEVEn,11.0,樂天,2.0,統一7-ELEVEn,2020
84,洲際,2020-06-10,18:35,富邦,5.0,中信兄弟,6.0,中信兄弟,2020
85,洲際,2020-06-11,18:35,富邦,3.0,中信兄弟,4.0,中信兄弟,2020
86,桃園,2020-06-12,18:35,中信兄弟,0.0,樂天,4.0,樂天,2020
87,台南,2020-06-12,18:35,富邦,4.0,統一7-ELEVEn,10.0,統一7-ELEVEn,2020
88,桃園,2020-06-13,17:05,中信兄弟,8.0,樂天,5.0,中信兄弟,2020
89,台南,2020-06-13,17:05,富邦,2.0,統一7-ELEVEn,3.0,統一7-ELEVEn,2020
90,桃園,2020-06-14,17:05,中信兄弟,1.0,樂天,4.0,樂天,2020
91,台南,2020-06-14,17:05,富邦,6.0,統一7-ELEVEn,2.0,富邦,2020
92,新莊,2020-06-16,18:35,中信兄弟,11.0,富邦,2.0,中信兄弟,2020
93,新莊,2020-06-17,18:35,中信兄弟,15.0,富邦,1.0,中信兄弟,2020
94,台南,2020-06-17,18:35,樂天,5.0,統一7-ELEVEn,3.0,樂天,2020
95,台南,2020-06-18,18:35,樂天,5.0,統一7-ELEVEn,10.0,統一7-ELEVEn,2020
96,洲際,2020-06-19,18:35,樂天,4.0,中信兄弟,7.0,中信兄弟,2020
97,新莊,2020-06-19,18:35,統一7-ELEVEn,5.0,富邦,6.0,富邦,2020
98,洲際,2020-06-20,18:35,樂天,11.0,中信兄弟,1.0,樂天,2020
99,新莊,2020-06-20,18:35,統一7-ELEVEn,13.0,富邦,4.0,統一7-ELEVEn,2020
100,洲際,2020-06-21,17:05,樂天,8.0,中信兄弟,1.0,樂天,2020
101,新莊,2020-06-21,17:05,統一7-ELEVEn,13.0,富邦,6.0,統一7-ELEVEn,2020
102,桃園,2020-06-23,18:35,富邦,11.0,樂天,4.0,富邦,2020
103,桃園,2020-06-24,18:35,富邦,3.0,樂天,10.0,樂天,2020
104,洲際,2020-06-25,17:05,統一7-ELEVEn,6.0,中信兄弟,13.0,中信兄弟,2020
105,桃園,2020-06-26,17:05,統一7-ELEVEn,6.0,樂天,8.0,樂天,2020
106,洲際,2020-06-26,17:05,富邦,1.0,中信兄弟,3.0,中信兄弟,2020
107,桃園,2020-06-27,17:05,統一7-ELEVEn,21.0,樂天,5.0,統一7-ELEVEn,2020
108,洲際,2020-06-27,17:05,富邦,3.0,中信兄弟,6.0,中信兄弟,2020
109,桃園,2020-06-28,17:05,統一7-ELEVEn,10.0,樂天,2.0,統一7-ELEVEn,2020
110,洲際,2020-06-28,17:05,富邦,3.0,中信兄弟,4.0,中信兄弟,2020
111,桃園,2020-06-30,18:35,中信兄弟,2.0,樂天,7.0,樂天,2020
112,桃園,2020-07-01,18:35,中信兄弟,20.0,樂天,0.0,中信兄弟,2020
113,台南,2020-07-01,18:35,富邦,2.0,統一7-ELEVEn,7.0,統一7-ELEVEn,2020
114,台南,2020-07-02,18:35,富邦,4.0,統一7-ELEVEn,3.0,富邦,2020
115,新莊,2020-07-03,18:35,樂天,15.0,富邦,8.0,樂天,2020
116,台南,2020-07-03,18:35,中信兄弟,9.0,統一7-ELEVEn,3.0,中信兄弟,2020
117,新莊,2020-07-04,17:05,樂天,6.0,富邦,7.0,富邦,2020
118,台南,2020-07-04,17:05,中信兄弟,7.0,統一7-ELEVEn,2.0,中信兄弟,2020
119,新莊,2020-07-05,17:05,樂天,4.0,富邦,9.0,富邦,2020
120,台南,2020-07-05,17:05,中信兄弟,11.0,統一7-ELEVEn,2.0,中信兄弟,2020
121,新莊,2020-07-24,18:35,樂天,7.0,富邦,8.0,富邦,2020
122,台南,2020-07-24,18:35,中信兄弟,4.0,統一7-ELEVEn,8.0,統一7-ELEVEn,2020
123,新莊,2020-07-25,17:05,樂天,5.0,富邦,8.0,富邦,2020
124,台南,2020-07-25,17:05,中信兄弟,6.0,統一7-ELEVEn,0.0,中信兄弟,2020
125,新莊,2020-07-26,17:05,樂天,10.0,富邦,5.0,樂天,2020
126,台南,2020-07-26,17:05,中信兄弟,6.0,統一7-ELEVEn,7.0,統一7-ELEVEn,2020
127,桃園,2020-07-28,18:35,中信兄弟,4.0,樂天,1.0,中信兄弟,2020
128,桃園,2020-07-29,18:35,中信兄弟,7.0,樂天,8.0,樂天,2020
130,台南,2020-07-30,18:35,富邦,5.0,統一7-ELEVEn,3.0,富邦,2020
131,桃園,2020-07-31,18:35,統一7-ELEVEn,2.0,樂天,3.0,樂天,2020
132,洲際,2020-07-31,18:35,富邦,3.0,中信兄弟,4.0,中信兄弟,2020
133,桃園,2020-08-01,17:05,統一7-ELEVEn,3.0,樂天,5.0,樂天,2020
134,洲際,2020-08-01,17:05,富邦,2.0,中信兄弟,3.0,中信兄弟,2020
135,桃園,2020-08-02,17:05,統一7-ELEVEn,10.0,樂天,4.0,統一7-ELEVEn,2020
136,洲際,2020-08-02,17:05,富邦,6.0,中信兄弟,3.0,富邦,2020
137,洲際,2020-08-04,18:35,統一7-ELEVEn,6.0,中信兄弟,5.0,統一7-ELEVEn,2020
138,洲際,2020-08-05,18:35,統一7-ELEVEn,5.0,中信兄弟,4.0,統一7-ELEVEn,2020
139,桃園,2020-08-05,18:35,富邦,3.0,樂天,4.0,樂天,2020
140,桃園,2020-08-06,18:35,富邦,3.0,樂天,8.0,樂天,2020
141,洲際,2020-08-07,18:35,樂天,4.0,中信兄弟,1.0,樂天,2020
142,新莊,2020-08-07,18:35,統一7-ELEVEn,7.0,富邦,2.0,統一7-ELEVEn,2020
143,洲際,2020-08-08,17:05,樂天,0.0,中信兄弟,11.0,中信兄弟,2020
144,新莊,2020-08-08,17:05,統一7-ELEVEn,0.0,富邦,4.0,富邦,2020
145,洲際,2020-08-09,17:05,樂天,5.0,中信兄弟,10.0,中信兄弟,2020
146,新莊,2020-08-09,17:05,統一7-ELEVEn,2.0,富邦,1.0,統一7-ELEVEn,2020
148,新莊,2020-08-12,18:35,樂天,6.0,富邦,10.0,富邦,2020
149,花蓮,2020-08-12,18:35,中信兄弟,0.0,統一7-ELEVEn,10.0,統一7-ELEVEn,2020
150,花蓮,2020-08-13,18:35,中信兄弟,3.0,統一7-ELEVEn,5.0,統一7-ELEVEn,2020
151,桃園,2020-08-14,18:35,中信兄弟,6.0,樂天,11.0,樂天,2020
152,花蓮,2020-08-14,18:35,富邦,15.0,統一7-ELEVEn,3.0,富邦,2020
154,花蓮,2020-08-15,17:05,富邦,11.0,統一7-ELEVEn,9.0,富邦,2020
155,桃園,2020-08-16,17:05,中信兄弟,4.0,樂天,1.0,中信兄弟,2020
156,花蓮,2020-08-16,17:05,富邦,7.0,統一7-ELEVEn,4.0,富邦,2020
158,洲際,2020-08-19,18:35,富邦,8.0,中信兄弟,2.0,富邦,2020
159,桃園,2020-08-19,18:35,統一7-ELEVEn,8.0,樂天,4.0,統一7-ELEVEn,2020
160,桃園,2020-08-20,18:35,統一7-ELEVEn,8.0,樂天,7.0,統一7-ELEVEn,2020
161,洲際,2020-08-21,18:35,統一7-ELEVEn,8.0,中信兄弟,8.0,-,2020
162,桃園,2020-08-21,18:35,富邦,2.0,樂天,3.0,樂天,2020
163,洲際,2020-08-22,17:05,統一7-ELEVEn,3.0,中信兄弟,19.0,中信兄弟,2020
164,桃園,2020-08-22,17:05,富邦,7.0,樂天,10.0,樂天,2020
165,洲際,2020-08-23,17:05,統一7-ELEVEn,4.0,中信兄弟,0.0,統一7-ELEVEn,2020
166,桃園,2020-08-23,17:05,富邦,6.0,樂天,0.0,富邦,2020
167,洲際,2020-08-25,18:35,樂天,1.0,中信兄弟,4.0,中信兄弟,2020
168,洲際,2020-08-26,18:35,樂天,3.0,中信兄弟,5.0,中信兄弟,2020
169,新莊,2020-08-26,18:35,統一7-ELEVEn,6.0,富邦,3.0,統一7-ELEVEn,2020
171,台南,2020-08-28,18:35,樂天,3.0,統一7-ELEVEn,8.0,統一7-ELEVEn,2020
172,新莊,2020-08-28,18:35,中信兄弟,5.0,富邦,4.0,中信兄弟,2020
173,台南,2020-08-29,17:05,樂天,11.0,統一7-ELEVEn,6.0,樂天,2020
174,新莊,2020-08-29,17:05,中信兄弟,3.0,富邦,4.0,富邦,2020
175,台南,2020-08-30,17:05,樂天,7.0,統一7-ELEVEn,4.0,樂天,2020
176,新莊,2020-08-30,17:05,中信兄弟,4.0,富邦,5.0,富邦,2020
177,桃園,2020-09-01,18:35,富邦,14.0,樂天,2.0,富邦,2020
178,桃園,2020-09-02,18:35,富邦,3.0,樂天,10.0,樂天,2020
179,洲際,2020-09-02,18:35,統一7-ELEVEn,9.0,中信兄弟,2.0,統一7-ELEVEn,2020
180,洲際,2020-09-03,18:35,統一7-ELEVEn,1.0,中信兄弟,5.0,中信兄弟,2020
181,桃園,2020-09-04,18:35,統一7-ELEVEn,7.0,樂天,8.0,樂天,2020
182,洲際,2020-09-04,18:35,富邦,3.0,中信兄弟,5.0,中信兄弟,2020
183,桃園,2020-09-05,17:05,統一7-ELEVEn,4.0,樂天,5.0,樂天,2020
184,洲際,2020-09-05,17:05,富邦,0.0,中信兄弟,1.0,中信兄弟,2020
185,桃園,2020-09-06,17:05,統一7-ELEVEn,5.0,樂天,12.0,樂天,2020
186,洲際,2020-09-06,17:05,富邦,6.0,中信兄弟,3.0,富邦,2020
187,台南,2020-09-08,18:35,富邦,7.0,統一7-ELEVEn,8.0,統一7-ELEVEn,2020
