NM,DATE(GAME),OPP,PA,AB,RBI,R,H,2B,3B,HR,TB,SO,SB,CS,AVG,SAC,SF,BB,IBB,HBP,GIDP,TP,LOB,PO,A,DP,TP2,E,CS2,PB,DATE,GAME
陳子豪,04/12(3),統一7-ELEVEn,5,4,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
蘇緯達,04/12(3),統一7-ELEVEn,3,2,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
唐肇廷,04/12(3),中信兄弟,1,1,0,1,1,0.0,0.0,0.0,1.0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
林安可,04/12(3),中信兄弟,6,5,0,0,1,0.0,0.0,0.0,1.0,2,0,0.0,0.2,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
潘傑楷,04/12(3),中信兄弟,2,2,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
楊家維,04/12(3),中信兄弟,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
許基宏,04/12(3),統一7-ELEVEn,5,3,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
高國慶,04/12(3),中信兄弟,3,3,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
陳傑憲,04/12(3),中信兄弟,6,5,1,1,1,1.0,0.0,0.0,2.0,2,0,0.0,0.2,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
周思齊,04/12(3),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
陳鏞基,04/12(3),中信兄弟,5,4,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
高宇杰,04/12(3),統一7-ELEVEn,3,3,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
詹子賢,04/12(3),統一7-ELEVEn,5,4,1,1,1,0.0,0.0,1.0,4.0,1,0,0.0,0.25,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
鄧志偉,04/12(3),中信兄弟,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
張志強,04/12(3),統一7-ELEVEn,2,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
陳重羽,04/12(3),中信兄弟,5,4,0,0,1,1.0,0.0,0.0,2.0,1,0,0.0,0.25,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
江亮緯,04/12(3),中信兄弟,3,2,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
張偉聖,04/12(3),中信兄弟,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
潘志芳,04/12(3),統一7-ELEVEn,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
黃鈞聲,04/12(3),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
林靖凱,04/12(3),中信兄弟,3,3,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
蘇智傑,04/12(3),中信兄弟,6,5,0,0,2,1.0,0.0,0.0,3.0,1,1,0.0,0.4,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
陳文杰,04/12(3),統一7-ELEVEn,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
鄭鎧文,04/12(3),中信兄弟,5,4,1,2,2,0.0,0.0,1.0,5.0,2,0,0.0,0.5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
岳東華,04/12(3),統一7-ELEVEn,5,5,0,0,2,1.0,0.0,0.0,3.0,0,0,0.0,0.4,0.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
王威晨,04/12(3),統一7-ELEVEn,6,6,0,0,3,0.0,0.0,0.0,3.0,2,1,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
郭阜林,04/12(3),中信兄弟,1,1,2,0,1,1.0,0.0,0.0,2.0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
林智勝,04/12(3),統一7-ELEVEn,4,1,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-04-12,3
張志豪,04/12(3),統一7-ELEVEn,5,5,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-12,3
林宥穎,04/14(4),中信兄弟,4,4,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
林益全,04/14(4),中信兄弟,4,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
王威晨,04/14(4),富邦,4,3,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.333,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
詹子賢,04/14(4),富邦,4,4,0,1,1,0.0,0.0,0.0,1.0,1,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
張志豪,04/14(4),富邦,4,4,0,0,1,0.0,0.0,0.0,1.0,0,0,0.0,0.111,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
王正棠,04/14(4),中信兄弟,4,3,0,0,1,0.0,0.0,0.0,1.0,1,0,0.0,0.333,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
陳凱倫,04/14(4),中信兄弟,4,2,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
許基宏,04/14(4),富邦,4,4,1,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
高國輝,04/14(4),中信兄弟,4,3,1,1,2,0.0,0.0,1.0,5.0,0,0,0.0,0.667,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
岳東華,04/14(4),富邦,4,4,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
陳子豪,04/14(4),富邦,4,4,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
蘇緯達,04/14(4),富邦,4,4,0,0,2,1.0,0.0,0.0,3.0,1,0,0.0,0.333,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
江坤宇,04/14(4),富邦,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
黃鈞聲,04/14(4),富邦,3,3,0,0,1,1.0,0.0,0.0,2.0,0,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
蔣智賢,04/14(4),中信兄弟,4,4,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
胡金龍,04/14(4),中信兄弟,4,4,1,1,2,1.0,0.0,0.0,3.0,1,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
林智勝,04/14(4),富邦,4,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
張正偉,04/14(4),中信兄弟,5,5,0,1,1,0.0,0.0,0.0,1.0,1,0,0.0,0.2,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
林哲瑄,04/14(4),中信兄弟,4,4,0,0,1,0.0,0.0,0.0,1.0,0,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-14,4
林靖凱,04/15(6),樂天,6,6,0,1,2,0.0,0.0,0.0,2.0,1,2,0.0,0.222,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
范國宸,04/15(5),中信兄弟,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
周思齊,04/15(5),富邦,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
張偉聖,04/15(6),樂天,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
林智平,04/15(6),統一7-ELEVEn,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
陳凱倫,04/15(5),中信兄弟,2,2,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
廖健富,04/15(6),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
陳鏞基,04/15(6),樂天,6,5,1,3,4,1.0,0.0,1.0,8.0,0,0,1.0,0.444,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-04-15,6
唐肇廷,04/15(6),樂天,2,2,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
蔣智賢,04/15(5),中信兄弟,6,6,0,1,2,1.0,0.0,0.0,3.0,2,0,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
鄭鎧文,04/15(6),樂天,6,6,1,2,2,0.0,0.0,1.0,5.0,3,1,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
江坤宇,04/15(5),富邦,5,4,1,0,2,0.0,0.0,0.0,2.0,0,1,0.0,0.5,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
高宇杰,04/15(5),富邦,4,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
林立,04/15(6),統一7-ELEVEn,6,6,0,2,3,0.0,0.0,0.0,3.0,0,1,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
郭嚴文,04/15(6),統一7-ELEVEn,6,5,2,2,3,1.0,0.0,1.0,7.0,0,0,0.0,0.6,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
陳品捷,04/15(5),中信兄弟,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
林宥穎,04/15(5),中信兄弟,3,3,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
高國慶,04/15(6),樂天,2,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
成晉,04/15(6),統一7-ELEVEn,5,5,1,1,1,0.0,0.0,1.0,4.0,1,0,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
王正棠,04/15(5),中信兄弟,6,6,0,1,2,0.0,0.0,0.0,2.0,1,0,0.0,0.333,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
劉時豪,04/15(6),統一7-ELEVEn,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
林安可,04/15(6),樂天,2,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.14300000000000002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
朱育賢,04/15(6),統一7-ELEVEn,6,6,4,3,4,0.0,0.0,3.0,13.0,0,0,0.0,0.667,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
陳傑憲,04/15(6),樂天,6,6,2,0,1,0.0,0.0,0.0,1.0,2,0,0.0,0.182,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
蘇緯達,04/15(5),富邦,6,6,1,2,1,1.0,0.0,0.0,2.0,3,0,0.0,0.25,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
高國麟,04/15(5),中信兄弟,3,3,1,1,1,0.0,0.0,0.0,1.0,1,0,0.0,0.333,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
陳子豪,04/15(5),富邦,2,2,0,0,1,0.0,0.0,0.0,1.0,0,0,0.0,0.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
詹智堯,04/15(6),統一7-ELEVEn,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
潘傑楷,04/15(6),樂天,4,3,1,0,1,0.0,0.0,0.0,1.0,1,0,0.0,0.2,0.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
楊家維,04/15(6),樂天,3,3,0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
林益全,04/15(5),中信兄弟,5,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
陳晨威,04/15(6),統一7-ELEVEn,6,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
許基宏,04/15(5),富邦,2,2,0,0,1,0.0,0.0,0.0,1.0,0,0,0.0,0.111,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
潘志芳,04/15(5),富邦,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
胡金龍,04/15(5),中信兄弟,6,5,2,0,2,0.0,0.0,0.0,2.0,0,0,0.0,0.444,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
林哲瑄,04/15(5),中信兄弟,5,3,2,1,2,0.0,0.0,1.0,5.0,1,0,1.0,0.429,0.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-04-15,5
張正偉,04/15(5),中信兄弟,6,6,1,2,3,1.0,0.0,0.0,4.0,0,0,0.0,0.364,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
岳東華,04/15(5),富邦,6,4,0,1,1,0.0,0.0,0.0,1.0,0,0,0.0,0.231,0.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
吳東融,04/15(5),富邦,4,4,0,0,1,1.0,0.0,0.0,2.0,1,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
王威晨,04/15(5),富邦,6,5,0,1,3,1.0,0.0,0.0,4.0,0,1,0.0,0.429,0.0,0.0,0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
林泓育,04/15(6),統一7-ELEVEn,5,5,0,0,2,0.0,0.0,0.0,2.0,2,0,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
李宗賢,04/15(5),中信兄弟,3,3,0,1,2,1.0,0.0,0.0,3.0,1,0,0.0,0.667,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
蘇智傑,04/15(6),樂天,6,5,0,1,1,1.0,0.0,0.0,2.0,2,0,0.0,0.3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
戴培峰,04/15(5),中信兄弟,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
詹子賢,04/15(5),富邦,6,5,3,1,4,1.0,0.0,1.0,8.0,0,0,0.0,0.462,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
林承飛,04/15(6),統一7-ELEVEn,5,5,0,0,1,1.0,0.0,0.0,2.0,1,0,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
張志豪,04/15(5),富邦,4,4,0,0,1,0.0,0.0,0.0,1.0,0,0,0.0,0.154,0.0,0.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
江亮緯,04/15(6),樂天,2,2,1,0,1,0.0,1.0,0.0,3.0,0,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
郭阜林,04/15(6),樂天,1,1,0,0,1,0.0,0.0,0.0,1.0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
陳重羽,04/15(6),樂天,6,5,1,1,2,0.0,0.0,1.0,5.0,1,0,0.0,0.333,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
鄧志偉,04/15(6),樂天,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
黃鈞聲,04/15(5),富邦,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
陳文杰,04/15(5),富邦,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
高國輝,04/15(5),中信兄弟,2,2,0,0,1,1.0,0.0,0.0,2.0,1,0,0.0,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
林智勝,04/15(5),富邦,6,4,1,1,2,1.0,0.0,0.0,3.0,0,0,0.0,0.28600000000000003,0.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,5
陳俊秀,04/15(6),統一7-ELEVEn,6,6,0,0,0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
藍寅倫,04/15(6),統一7-ELEVEn,5,5,2,1,2,1.0,0.0,1.0,6.0,1,0,0.0,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15,6
高國慶,04/16(7),樂天,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
唐肇廷,04/16(7),樂天,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
馮健庭,04/16(7),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
郭永維,04/16(7),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
成晉,04/16(7),統一7-ELEVEn,4,4,0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.111,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
陳晨威,04/16(7),統一7-ELEVEn,5,2,0,3,1,0.0,0.0,0.0,1.0,0,3,0.0,0.14300000000000002,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
劉時豪,04/16(7),統一7-ELEVEn,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-16,7
